"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
56,31,1,1,16,2,1,1,1,21000,8
56,4,1,5,1,2,NA,1,1,NA,16
56,0,1,5,NA,1,NA,1,1,NA,12
56,62,1,2,18,2,1,1,1,11200,22
56,29,3,5,19,2,6,1,1,0,32
56,30,1,1,19,1,1,1,1,55000,18
56,33,1,5,19,1,1,1,1,26000,44
56,52,1,1,21,1,1,1,1,65000,23
56,49,1,1,21,2,1,1,1,16000,17
56,18,1,5,16,2,1,1,1,1300,19
56,15,1,5,12,1,NA,1,1,920,17
56,13,1,5,10,2,NA,1,1,NA,21
56,52,1,1,21,1,1,1,1,142000,11
56,51,1,1,21,2,1,1,1,52000,11
56,60,1,1,12,2,1,1,1,70000,18
56,65,1,1,11,1,6,1,1,13800,9
56,60,1,1,17,2,6,1,1,4500,9
56,65,1,1,14,1,1,1,1,65000,15
56,63,1,1,14,2,6,1,1,0,15
56,20,1,5,15,1,3,1,2,0,27
56,15,1,5,13,2,NA,1,1,0,11
56,77,1,2,19,2,1,1,1,184300,16
56,61,1,1,22,1,1,9,1,83800,2
56,70,1,1,19,2,1,1,1,46000,2
56,46,1,1,23,2,6,9,1,0,30
56,47,1,1,16,1,6,1,1,15900,15
56,34,1,1,19,2,2,1,1,18000,11
56,38,1,1,21,1,1,1,1,80000,14
56,11,1,5,7,2,NA,1,1,NA,11
56,8,1,5,4,1,NA,1,1,NA,14
56,6,1,5,3,2,NA,1,1,NA,11
56,48,4,1,24,1,1,1,1,60000,12
56,44,5,1,21,2,6,1,1,0,24
56,12,1,5,9,1,NA,1,1,NA,25
56,10,1,5,6,2,NA,1,1,NA,23
56,7,1,5,3,1,NA,1,1,NA,25
56,72,4,3,18,2,6,1,1,26600,14
56,52,1,1,16,1,6,1,1,5000,43
56,50,1,1,16,2,1,1,1,17000,33
56,48,1,1,20,1,1,1,1,91000,18
56,54,1,1,16,2,1,1,1,52000,17
56,38,1,1,17,2,1,1,1,18200,22
56,46,1,1,16,1,1,1,1,12000,21
56,9,1,5,6,2,NA,1,1,NA,20
56,67,1,1,19,1,6,1,1,56000,27
56,64,1,1,19,2,1,1,1,174500,26
56,84,1,1,16,1,6,1,1,13300,14
56,35,1,5,21,2,1,1,1,38500,13
56,57,1,1,16,1,6,1,1,54000,26
