"","ST","age","citizen","marital","education","employment","race","sex","n","weighted_share_of_state","state"
"271",1,1,2,1,2,2,2,1,40,8.37288474766009e-06,"al"
"272",1,1,2,1,2,2,2,2,82,1.71644137327032e-05,"al"
"273",1,1,2,1,2,2,3,1,600,0.000125593271214901,"al"
"274",1,1,2,1,2,2,3,2,2717,0.000568728196484812,"al"
"275",1,1,2,1,2,2,4,1,130,2.72118754298953e-05,"al"
"276",1,1,2,1,2,2,4,2,727,0.000152177180288722,"al"
"277",1,1,2,1,2,2,5,2,27,5.65169720467056e-06,"al"
"278",1,1,2,1,3,1,1,1,301,6.30059577261422e-05,"al"
"279",1,1,2,1,3,1,1,2,141,2.95144187355018e-05,"al"
"280",1,1,2,1,3,1,2,1,261,5.46330729784821e-05,"al"
"281",1,1,2,1,3,1,2,2,84,1.75830579700862e-05,"al"
"282",1,1,2,1,3,1,3,1,1207,0.000252651797260643,"al"
"283",1,1,2,1,3,1,3,2,320,6.69830779812807e-05,"al"
"284",1,1,2,1,3,1,4,1,204,4.27017122130665e-05,"al"
"285",1,1,2,1,3,1,4,2,316,6.61457895065147e-05,"al"
"286",1,1,2,1,3,1,5,1,7,1.46525483084052e-06,"al"
"287",1,1,2,1,3,1,5,2,15,3.13983178037253e-06,"al"
"288",1,1,2,1,3,2,1,1,108,2.26067888186822e-05,"al"
"289",1,1,2,1,3,2,1,2,683,0.000142967007066296,"al"
"290",1,1,2,1,3,2,2,1,83,1.73737358513947e-05,"al"
"291",1,1,2,1,3,2,2,2,71,1.48618704270967e-05,"al"
"292",1,1,2,1,3,2,3,1,121,2.53279763616718e-05,"al"
"293",1,1,2,1,3,2,3,2,572,0.000119732251891539,"al"
"294",1,1,2,1,3,2,4,1,16,3.34915389906404e-06,"al"
"295",1,1,2,1,3,2,4,2,343,7.17974867111853e-05,"al"
"296",1,1,2,1,3,2,5,1,52,1.08847501719581e-05,"al"
"297",1,1,2,1,3,2,5,2,37,7.74491839158559e-06,"al"
"298",1,1,2,1,4,1,1,1,157,3.28635726345659e-05,"al"
"299",1,1,2,1,4,1,1,2,212,4.43762891625985e-05,"al"
"300",1,1,2,1,4,1,2,1,35,7.32627415420258e-06,"al"
"301",1,1,2,1,4,1,2,2,109,2.28161109373738e-05,"al"
"302",1,1,2,1,4,1,3,1,168,3.51661159401724e-05,"al"
"303",1,1,2,1,4,1,3,2,92,1.92576349196182e-05,"al"
"304",1,1,2,1,4,1,4,1,78,1.63271252579372e-05,"al"
"305",1,1,2,1,4,1,4,2,111,2.32347551747568e-05,"al"
"306",1,1,2,1,4,1,5,1,11,2.30254330560653e-06,"al"
"307",1,1,2,1,4,1,5,2,48,1.00474616971921e-05,"al"
"308",1,1,2,1,4,2,1,1,28,5.86101932336207e-06,"al"
"309",1,1,2,1,4,2,1,2,257,5.37957845037161e-05,"al"
"310",1,1,2,1,4,2,2,1,9,1.88389906822352e-06,"al"
"311",1,1,2,1,4,2,2,2,73,1.52805146644797e-05,"al"
"312",1,1,2,1,4,2,3,1,22,4.60508661121305e-06,"al"
"313",1,1,2,1,4,2,3,2,237,4.96093421298861e-05,"al"
"314",1,1,2,1,4,2,4,1,61,1.27686492401816e-05,"al"
"315",1,1,2,1,4,2,4,2,370,7.74491839158559e-05,"al"
"316",1,1,2,1,4,2,5,1,27,5.65169720467056e-06,"al"
"317",1,1,2,1,4,2,5,2,13,2.72118754298953e-06,"al"
"318",1,1,2,1,5,1,1,1,798,0.000167039050715819,"al"
"319",1,1,2,1,5,1,1,2,215,4.5004255518673e-05,"al"
"320",1,1,2,1,5,1,2,1,253,5.29584960289501e-05,"al"
"321",1,1,2,1,5,1,2,2,165,3.45381495840979e-05,"al"
"322",1,1,2,1,5,1,3,1,549,0.000114917843161635,"al"
"323",1,1,2,1,5,1,3,2,316,6.61457895065147e-05,"al"
"324",1,1,2,1,5,1,4,1,1087,0.000227533143017663,"al"
"325",1,1,2,1,5,1,4,2,411,8.60313907822074e-05,"al"
"326",1,1,2,1,5,1,5,1,60,1.25593271214901e-05,"al"
"327",1,1,2,1,5,1,5,2,74,1.54898367831712e-05,"al"
"328",1,1,2,1,5,2,1,1,42,8.7915289850431e-06,"al"
"329",1,1,2,1,5,2,1,2,315,6.59364673878232e-05,"al"
"330",1,1,2,1,5,2,2,1,16,3.34915389906404e-06,"al"
"331",1,1,2,1,5,2,2,2,95,1.98856012756927e-05,"al"
"332",1,1,2,1,5,2,3,1,15,3.13983178037253e-06,"al"
"333",1,1,2,1,5,2,3,2,276,5.77729047588546e-05,"al"
"334",1,1,2,1,5,2,4,1,161,3.37008611093319e-05,"al"
"335",1,1,2,1,5,2,4,2,1449,0.000303307749983987,"al"
"336",1,1,2,1,5,2,5,1,90,1.88389906822352e-05,"al"
"337",1,1,2,1,5,2,5,2,88,1.84203464448522e-05,"al"
"338",1,1,2,1,6,1,1,1,643,0.000134594122318636,"al"
"339",1,1,2,1,6,1,1,2,375,7.84957945093134e-05,"al"
"340",1,1,2,1,6,1,2,1,242,5.06559527233436e-05,"al"
"341",1,1,2,1,6,1,2,2,65,1.36059377149477e-05,"al"
"342",1,1,2,1,6,1,3,1,324,6.78203664560468e-05,"al"
"343",1,1,2,1,6,1,3,2,252,5.27491739102586e-05,"al"
"344",1,1,2,1,6,1,4,1,1910,0.000399805246700769,"al"
"345",1,1,2,1,6,1,4,2,1387,0.000290329778625114,"al"
"346",1,1,2,1,6,1,5,1,66,1.38152598336392e-05,"al"
"347",1,1,2,1,6,1,5,2,86,1.80017022074692e-05,"al"
"348",1,1,2,1,6,2,1,1,113,2.36533994121398e-05,"al"
"349",1,1,2,1,6,2,1,2,283,5.92381595896952e-05,"al"
"350",1,1,2,1,6,2,2,2,16,3.34915389906404e-06,"al"
"351",1,1,2,1,6,2,3,1,75,1.56991589018627e-05,"al"
"352",1,1,2,1,6,2,3,2,110,2.30254330560653e-05,"al"
"353",1,1,2,1,6,2,4,1,170,3.55847601775554e-05,"al"
"354",1,1,2,1,6,2,4,2,551,0.000115336487399018,"al"
"355",1,1,2,1,6,2,5,1,58,1.21406828841071e-05,"al"
"356",1,1,2,2,1,1,1,1,76,1.59084810205542e-05,"al"
"357",1,1,2,2,1,1,1,2,51,1.06754280532666e-05,"al"
"358",1,1,2,2,1,1,2,2,41,8.5822068663516e-06,"al"
"359",1,1,2,2,1,1,3,1,9416,0.00197097706959919,"al"
"360",1,1,2,2,1,1,3,2,2289,0.000479138329684849,"al"
"361",1,1,2,2,1,1,4,1,161,3.37008611093319e-05,"al"
"362",1,1,2,2,1,1,4,2,156,3.26542505158744e-05,"al"
"363",1,1,2,2,1,1,5,1,62,1.29779713588731e-05,"al"
"364",1,1,2,2,1,2,1,1,760,0.000159084810205542,"al"
"365",1,1,2,2,1,2,1,2,1010,0.000211415339878417,"al"
"366",1,1,2,2,1,2,2,1,309,6.46805346756742e-05,"al"
"367",1,1,2,2,1,2,2,2,382,7.99610493401539e-05,"al"
"368",1,1,2,2,1,2,3,1,6066,0.00126974797198265,"al"
"369",1,1,2,2,1,2,3,2,6191,0.00129591323681909,"al"
"370",1,1,2,2,1,2,4,1,1558,0.000326123860921361,"al"
"371",1,1,2,2,1,2,4,2,1200,0.000251186542429803,"al"
"372",1,1,2,2,1,2,5,1,86,1.80017022074692e-05,"al"
"373",1,1,2,2,1,2,5,2,138,2.88864523794273e-05,"al"
"374",1,1,2,2,2,1,1,1,351,7.34720636607173e-05,"al"
"375",1,1,2,2,2,1,1,2,187,3.91432361953109e-05,"al"
"376",1,1,2,2,2,1,2,1,173,3.62127265336299e-05,"al"
"377",1,1,2,2,2,1,2,2,163,3.41195053467149e-05,"al"
"378",1,1,2,2,2,1,3,1,5813,0.0012167894759537,"al"
"379",1,1,2,2,2,1,3,2,1689,0.000353545058469947,"al"
"380",1,1,2,2,2,1,4,1,314,6.57271452691317e-05,"al"
"381",1,1,2,2,2,1,4,2,271,5.67262941653971e-05,"al"
"382",1,1,2,2,2,1,5,1,53,1.10940722906496e-05,"al"
"383",1,1,2,2,2,1,5,2,16,3.34915389906404e-06,"al"
"384",1,1,2,2,2,2,1,1,240,5.02373084859606e-05,"al"
"385",1,1,2,2,2,2,1,2,329,6.88669770495043e-05,"al"
"386",1,1,2,2,2,2,2,1,57,1.19313607654156e-05,"al"
"387",1,1,2,2,2,2,2,2,114,2.38627215308313e-05,"al"
"388",1,1,2,2,2,2,3,1,788,0.000164945829528904,"al"
"389",1,1,2,2,2,2,3,2,832,0.00017415600275133,"al"
"390",1,1,2,2,2,2,4,1,48,1.00474616971921e-05,"al"
"391",1,1,2,2,2,2,4,2,504,0.000105498347820517,"al"
